CCAA;Viajeros_y_tasas;Periodo;Total
Total Nacional;Viajeros transportados;2020M10;97.813
Total Nacional;Viajeros transportados;2020M09;87.732
Total Nacional;Viajeros transportados;2020M08;66.891
Total Nacional;Viajeros transportados;2020M07;81.712
Total Nacional;Viajeros transportados;2020M06;63.863
Total Nacional;Viajeros transportados;2020M05;28.102
Total Nacional;Viajeros transportados;2020M04;12.737
Total Nacional;Viajeros transportados;2020M03;74.200
Total Nacional;Viajeros transportados;2020M02;158.565
Total Nacional;Viajeros transportados;2020M01;154.905
Total Nacional;Viajeros transportados;2019M12;147.533
Total Nacional;Viajeros transportados;2019M11;159.859
Total Nacional;Viajeros transportados;2019M10;175.501
Total Nacional;Viajeros transportados;2019M09;151.462
Total Nacional;Viajeros transportados;2019M08;113.651
Total Nacional;Viajeros transportados;2019M07;145.841
Total Nacional;Viajeros transportados;2019M06;153.355
Total Nacional;Viajeros transportados;2019M05;166.846
Total Nacional;Viajeros transportados;2019M04;149.922
Total Nacional;Viajeros transportados;2019M03;161.632
Total Nacional;Viajeros transportados;2019M02;149.612
Total Nacional;Viajeros transportados;2019M01;151.945
Total Nacional;Viajeros transportados;2018M12;145.415
Total Nacional;Viajeros transportados;2018M11;157.737
Total Nacional;Viajeros transportados;2018M10;166.873
Total Nacional;Viajeros transportados;2018M09;144.660
Total Nacional;Viajeros transportados;2018M08;111.409
Total Nacional;Viajeros transportados;2018M07;138.282
Total Nacional;Viajeros transportados;2018M06;152.406
Total Nacional;Viajeros transportados;2018M05;160.065
Total Nacional;Viajeros transportados;2018M04;152.132
Total Nacional;Viajeros transportados;2018M03;149.091
Total Nacional;Viajeros transportados;2018M02;141.606
Total Nacional;Viajeros transportados;2018M01;148.236
Total Nacional;Viajeros transportados;2017M12;138.530
Total Nacional;Viajeros transportados;2017M11;155.811
Total Nacional;Viajeros transportados;2017M10;159.602
Total Nacional;Viajeros transportados;2017M09;143.853
Total Nacional;Viajeros transportados;2017M08;110.945
Total Nacional;Viajeros transportados;2017M07;136.584
Total Nacional;Viajeros transportados;2017M06;151.223
Total Nacional;Viajeros transportados;2017M05;160.540
Total Nacional;Viajeros transportados;2017M04;137.997
Total Nacional;Viajeros transportados;2017M03;163.191
Total Nacional;Viajeros transportados;2017M02;142.698
Total Nacional;Viajeros transportados;2017M01;141.045
Total Nacional;Viajeros transportados;2016M12;141.128
Total Nacional;Viajeros transportados;2016M11;151.603
Total Nacional;Viajeros transportados;2016M10;156.443
Total Nacional;Viajeros transportados;2016M09;148.049
Total Nacional;Viajeros transportados;2016M08;109.050
Total Nacional;Viajeros transportados;2016M07;132.807
Total Nacional;Viajeros transportados;2016M06;149.236
Total Nacional;Viajeros transportados;2016M05;153.035
Total Nacional;Viajeros transportados;2016M04;149.809
Total Nacional;Viajeros transportados;2016M03;142.208
Total Nacional;Viajeros transportados;2016M02;139.142
Total Nacional;Viajeros transportados;2016M01;134.026
Total Nacional;Viajeros transportados;2015M12;140.217
Total Nacional;Viajeros transportados;2015M11;147.754
Total Nacional;Viajeros transportados;2015M10;153.378
Total Nacional;Viajeros transportados;2015M09;137.281
Total Nacional;Viajeros transportados;2015M08;100.216
Total Nacional;Viajeros transportados;2015M07;131.022
Total Nacional;Viajeros transportados;2015M06;141.255
Total Nacional;Viajeros transportados;2015M05;147.327
Total Nacional;Viajeros transportados;2015M04;139.380
Total Nacional;Viajeros transportados;2015M03;145.702
Total Nacional;Viajeros transportados;2015M02;132.316
Total Nacional;Viajeros transportados;2015M01;133.542
Total Nacional;Viajeros transportados;2014M12;137.086
Total Nacional;Viajeros transportados;2014M11;139.781
Total Nacional;Viajeros transportados;2014M10;157.759
Total Nacional;Viajeros transportados;2014M09;134.345
Total Nacional;Viajeros transportados;2014M08;94.539
Total Nacional;Viajeros transportados;2014M07;129.633
Total Nacional;Viajeros transportados;2014M06;135.998
Total Nacional;Viajeros transportados;2014M05;146.925
Total Nacional;Viajeros transportados;2014M04;137.001
Total Nacional;Viajeros transportados;2014M03;145.497
Total Nacional;Viajeros transportados;2014M02;134.017
Total Nacional;Viajeros transportados;2014M01;137.071
Total Nacional;Viajeros transportados;2013M12;132.658
Total Nacional;Viajeros transportados;2013M11;141.143
Total Nacional;Viajeros transportados;2013M10;157.271
Total Nacional;Viajeros transportados;2013M09;131.258
Total Nacional;Viajeros transportados;2013M08;95.827
Total Nacional;Viajeros transportados;2013M07;129.604
Total Nacional;Viajeros transportados;2013M06;136.858
Total Nacional;Viajeros transportados;2013M05;148.404
Total Nacional;Viajeros transportados;2013M04;146.869
Total Nacional;Viajeros transportados;2013M03;134.542
Total Nacional;Viajeros transportados;2013M02;131.939
Total Nacional;Viajeros transportados;2013M01;139.275
Total Nacional;Viajeros transportados;2012M12;129.673
Total Nacional;Viajeros transportados;2012M11;137.496
