Sexo;Edad;Provincias;Periodo;Total
ambos sexos;total;total nacional;2020.0;4.7332614E7
ambos sexos;total;castilla-la mancha;2020.0;389874.0
ambos sexos;total;comunidad valenciana;2020.0;1885559.0
ambos sexos;total;andalucia;2020.0;715665.0
ambos sexos;total;pais vasco;2020.0;329873.0
ambos sexos;total;asturias;2020.0;1018899.0
ambos sexos;total;castilla y leon;2020.0;158895.0
ambos sexos;total;extremadura;2020.0;670903.0
ambos sexos;total;islas baleares;2020.0;1210725.0
ambos sexos;total;catalunya;2020.0;5635100.0
ambos sexos;total;pais vasco;2020.0;1142713.0
ambos sexos;total;castilla y leon;2020.0;355693.0
ambos sexos;total;extremadura;2020.0;391076.0
ambos sexos;total;andalucia;2020.0;1254728.0
ambos sexos;total;cantabria;2020.0;582388.0
ambos sexos;total;comunidad valenciana;2020.0;574936.0
ambos sexos;total;castilla-la mancha;2020.0;494178.0
ambos sexos;total;andalucia;2020.0;784292.0
ambos sexos;total;galicia;2020.0;1123550.0
ambos sexos;total;castilla-la mancha;2020.0;199834.0
ambos sexos;total;pais vasco;2020.0;716552.0
ambos sexos;total;catalunya;2020.0;767294.0
ambos sexos;total;andalucia;2020.0;925160.0
ambos sexos;total;castilla-la mancha;2020.0;262409.0
ambos sexos;total;andalucia;2020.0;528177.0
ambos sexos;total;aragon;2020.0;220607.0
ambos sexos;total;andalucia;2020.0;629036.0
ambos sexos;total;castilla y leon;2020.0;459236.0
ambos sexos;total;catalunya;2020.0;435563.0
ambos sexos;total;galicia;2020.0;328169.0
ambos sexos;total;comunidad de madrid;2020.0;6747068.0
ambos sexos;total;andalucia;2020.0;1683505.0
ambos sexos;total;murcia;2020.0;1504869.0
ambos sexos;total;navarra;2020.0;656509.0
ambos sexos;total;galicia;2020.0;306872.0
ambos sexos;total;castilla y leon;2020.0;159906.0
ambos sexos;total;canarias;2020.0;1151178.0
ambos sexos;total;galicia;2020.0;944001.0
ambos sexos;total;la rioja;2020.0;315931.0
ambos sexos;total;castilla y leon;2020.0;331081.0
ambos sexos;total;canarias;2020.0;1085815.0
ambos sexos;total;castilla y leon;2020.0;154205.0
ambos sexos;total;andalucia;2020.0;1957520.0
ambos sexos;total;castilla y leon;2020.0;89892.0
ambos sexos;total;catalunya;2020.0;814391.0
ambos sexos;total;aragon;2020.0;133300.0
