Edad;sum(Periodo);sum(Total)
33 anyos;48480.0;210202.0
79 anyos;48480.0;113925.0
61 anyos;48480.0;217718.0
1 anyo;48480.0;144284.0
76 anyos;48480.0;130848.0
69 anyos;48480.0;143116.0
5 anyos;48480.0;169929.0
34 anyos;48480.0;215780.0
54 anyos;48480.0;260586.0
14 anyos;48480.0;194826.0
86 anyos;48480.0;66135.0
7 anyos;48480.0;176885.0
46 anyos;48480.0;273739.0
87 anyos;48480.0;58244.0
84 anyos;48480.0;77064.0
45 anyos;48480.0;278648.0
6 anyos;48480.0;167806.0
95 anyos;48480.0;8877.0
93 anyos;48480.0;15887.0
51 anyos;48480.0;267075.0
57 anyos;48480.0;235794.0
94 anyos;48480.0;11877.0
25 anyos;48480.0;180493.0
23 anyos;48480.0;177062.0
49 anyos;48480.0;268189.0
12 anyos;48480.0;198851.0
39 anyos;48480.0;266804.0
89 anyos;48480.0;41706.0
8 anyos;48480.0;183691.0
67 anyos;48480.0;170082.0
73 anyos;48480.0;132650.0
97 anyos;48480.0;4654.0
75 anyos;48480.0;130735.0
19 anyos;48480.0;183402.0
9 anyos;48480.0;187012.0
77 anyos;48480.0;106196.0
38 anyos;48480.0;252656.0
64 anyos;48480.0;184246.0
78 anyos;48480.0;91584.0
31 anyos;48480.0;202125.0
44 anyos;48480.0;281999.0
92 anyos;48480.0;19739.0
24 anyos;48480.0;177809.0
42 anyos;48480.0;282703.0
15 anyos;48480.0;190336.0
90 anyos;48480.0;33523.0
26 anyos;48480.0;190257.0
36 anyos;48480.0;232922.0
98 anyos;48480.0;2986.0
35 anyos;48480.0;225753.0
41 anyos;48480.0;280403.0
70 anyos;48480.0;153268.0
81 anyos;48480.0;80328.0
91 anyos;48480.0;27065.0
40 anyos;48480.0;270998.0
68 anyos;48480.0;157357.0
71 anyos;48480.0;161344.0
55 anyos;48480.0;265837.0
99 anyos;48480.0;2214.0
83 anyos;48480.0;85795.0
32 anyos;48480.0;205156.0
10 anyos;48480.0;192782.0
88 anyos;48480.0;48179.0
18 anyos;48480.0;182348.0
60 anyos;48480.0;220658.0
82 anyos;48480.0;83310.0
56 anyos;48480.0;249677.0
100 y mas anyos;48480.0;2928.0
85 y mas anyos;48480.0;418725.0
22 anyos;48480.0;178015.0
65 anyos;48480.0;172347.0
43 anyos;48480.0;285098.0
17 anyos;48480.0;180883.0
37 anyos;48480.0;246077.0
21 anyos;48480.0;177861.0
3 anyos;48480.0;163919.0
20 anyos;48480.0;181511.0
4 anyos;48480.0;166856.0
96 anyos;48480.0;6361.0
13 anyos;48480.0;200053.0
62 anyos;48480.0;209839.0
80 anyos;48480.0;80511.0
58 anyos;48480.0;228982.0
72 anyos;48480.0;146628.0
74 anyos;48480.0;142426.0
48 anyos;48480.0;269100.0
total;48480.0;1.6956167E7
28 anyos;48480.0;195548.0
66 anyos;48480.0;174135.0
85 anyos;48480.0;68349.0
16 anyos;48480.0;187115.0
30 anyos;48480.0;200035.0
50 anyos;48480.0;267163.0
47 anyos;48480.0;274141.0
11 anyos;48480.0;204670.0
29 anyos;48480.0;198391.0
2 anyos;48480.0;153450.0
53 anyos;48480.0;261962.0
52 anyos;48480.0;271300.0
59 anyos;48480.0;229630.0
0 anyos;48480.0;138956.0
63 anyos;48480.0;189678.0
27 anyos;48480.0;196135.0
