Sexo;Edad;Provincias;Periodo;Total
ambos sexos;total;total nacional;1 de enero de 2020;47.332.614
ambos sexos;total;albacete;1 de enero de 2020;389.874
ambos sexos;total;alicante/alacant;1 de enero de 2020;1.885.559
ambos sexos;total;almeria;1 de enero de 2020;715.665
ambos sexos;total;araba/alava;1 de enero de 2020;329.873
ambos sexos;total;asturias;1 de enero de 2020;1.018.899
ambos sexos;total;avila;1 de enero de 2020;158.895
ambos sexos;total;badajoz;1 de enero de 2020;670.903
ambos sexos;total;balears, illes;1 de enero de 2020;1.210.725
ambos sexos;total;barcelona;1 de enero de 2020;5.635.100
ambos sexos;total;bizkaia;1 de enero de 2020;1.142.713
ambos sexos;total;burgos;1 de enero de 2020;355.693
ambos sexos;total;caceres;1 de enero de 2020;391.076
ambos sexos;total;cadiz;1 de enero de 2020;1.254.728
ambos sexos;total;cantabria;1 de enero de 2020;582.388
ambos sexos;total;castellon/castello;1 de enero de 2020;574.936
ambos sexos;total;ciudad real;1 de enero de 2020;494.178
ambos sexos;total;cordoba;1 de enero de 2020;784.292
ambos sexos;total;corunya, a;1 de enero de 2020;1.123.550
ambos sexos;total;cuenca;1 de enero de 2020;199.834
ambos sexos;total;gipuzkoa;1 de enero de 2020;716.552
ambos sexos;total;girona;1 de enero de 2020;767.294
ambos sexos;total;granada;1 de enero de 2020;925.160
ambos sexos;total;guadalajara;1 de enero de 2020;262.409
ambos sexos;total;huelva;1 de enero de 2020;528.177
ambos sexos;total;huesca;1 de enero de 2020;220.607
ambos sexos;total;jaen;1 de enero de 2020;629.036
ambos sexos;total;leon;1 de enero de 2020;459.236
ambos sexos;total;lleida;1 de enero de 2020;435.563
ambos sexos;total;lugo;1 de enero de 2020;328.169
ambos sexos;total;madrid;1 de enero de 2020;6.747.068
ambos sexos;total;malaga;1 de enero de 2020;1.683.505
ambos sexos;total;murcia;1 de enero de 2020;1.504.869
ambos sexos;total;navarra;1 de enero de 2020;656.509
ambos sexos;total;ourense;1 de enero de 2020;306.872
ambos sexos;total;palencia;1 de enero de 2020;159.906
ambos sexos;total;palmas, las;1 de enero de 2020;1.151.178
ambos sexos;total;pontevedra;1 de enero de 2020;944.001
ambos sexos;total;rioja, la;1 de enero de 2020;315.931
ambos sexos;total;salamanca;1 de enero de 2020;331.081
ambos sexos;total;santa cruz de tenerife;1 de enero de 2020;1.085.815
ambos sexos;total;segovia;1 de enero de 2020;154.205
ambos sexos;total;sevilla;1 de enero de 2020;1.957.520
ambos sexos;total;soria;1 de enero de 2020;89.892
ambos sexos;total;tarragona;1 de enero de 2020;814.391
ambos sexos;total;teruel;1 de enero de 2020;133.300
ambos sexos;total;toledo;1 de enero de 2020;699.258
ambos sexos;total;valencia/valencia;1 de enero de 2020;2.568.846
ambos sexos;total;valladolid;1 de enero de 2020;520.737
ambos sexos;total;zamora;1 de enero de 2020;171.661
ambos sexos;total;zaragoza;1 de enero de 2020;976.427
ambos sexos;total;ceuta;1 de enero de 2020;84.085
ambos sexos;total;melilla;1 de enero de 2020;84.473
ambos sexos;0;total nacional;1 de enero de 2020;359.941
ambos sexos;0;albacete;1 de enero de 2020;2.858
ambos sexos;0;alicante/alacant;1 de enero de 2020;14.135
ambos sexos;0;almeria;1 de enero de 2020;7.291
ambos sexos;0;araba/alava;1 de enero de 2020;2.585
ambos sexos;0;asturias;1 de enero de 2020;5.175
ambos sexos;0;avila;1 de enero de 2020;956
ambos sexos;0;badajoz;1 de enero de 2020;5.174
ambos sexos;0;balears, illes;1 de enero de 2020;9.731
ambos sexos;0;barcelona;1 de enero de 2020;45.153
ambos sexos;0;bizkaia;1 de enero de 2020;7.776
ambos sexos;0;burgos;1 de enero de 2020;2.417
ambos sexos;0;caceres;1 de enero de 2020;2.504
ambos sexos;0;cadiz;1 de enero de 2020;9.770
ambos sexos;0;cantabria;1 de enero de 2020;3.556
ambos sexos;0;castellon/castello;1 de enero de 2020;4.478
ambos sexos;0;ciudad real;1 de enero de 2020;3.582
ambos sexos;0;cordoba;1 de enero de 2020;5.978
ambos sexos;0;corunya, a;1 de enero de 2020;6.639
ambos sexos;0;cuenca;1 de enero de 2020;1.402
ambos sexos;0;gipuzkoa;1 de enero de 2020;5.135
ambos sexos;0;girona;1 de enero de 2020;6.463
ambos sexos;0;granada;1 de enero de 2020;7.657
ambos sexos;0;guadalajara;1 de enero de 2020;2.112
ambos sexos;0;huelva;1 de enero de 2020;4.528
ambos sexos;0;huesca;1 de enero de 2020;1.583
ambos sexos;0;jaen;1 de enero de 2020;4.706
ambos sexos;0;leon;1 de enero de 2020;2.365
ambos sexos;0;lleida;1 de enero de 2020;3.521
ambos sexos;0;lugo;1 de enero de 2020;1.709
ambos sexos;0;madrid;1 de enero de 2020;55.815
ambos sexos;0;malaga;1 de enero de 2020;13.329
ambos sexos;0;murcia;1 de enero de 2020;14.289
ambos sexos;0;navarra;1 de enero de 2020;5.404
ambos sexos;0;ourense;1 de enero de 2020;1.467
ambos sexos;0;palencia;1 de enero de 2020;929
ambos sexos;0;palmas, las;1 de enero de 2020;7.625
ambos sexos;0;pontevedra;1 de enero de 2020;5.966
ambos sexos;0;rioja, la;1 de enero de 2020;2.412
ambos sexos;0;salamanca;1 de enero de 2020;1.940
ambos sexos;0;santa cruz de tenerife;1 de enero de 2020;6.592
ambos sexos;0;segovia;1 de enero de 2020;1.022
ambos sexos;0;sevilla;1 de enero de 2020;16.219
ambos sexos;0;soria;1 de enero de 2020;591
ambos sexos;0;tarragona;1 de enero de 2020;6.642
ambos sexos;0;teruel;1 de enero de 2020;982
